entityid,secteur,code,cepage,commune,date,sucres,acidite_totale,ph,indice,acide_tartrique,potasse,azote_amm
ac157bfa-d299-4f5f-9c20-723ee7825ec8,Couchois,ES1,Pinot,St.Maurice-les-Couches,20-août-09,160,9,28,2,88,17,24
5b682fe0-ab1a-4407-8f56-e7fa97fcdc4a,Couchois,ES2,Pinot,St.Sernin-du-Plain,20-août-09,135,11,6,2,8,11,63
b89ff985-7169-4afc-89d2-bf5b3b7344d0,Maranges,ES3,Pinot,Cheilly-les-Maranges,20-août-09,149,10,48,2,83,14,21
5651a4a1-1860-410d-90eb-3838ea362cd0,Maranges,ES4,Pinot,Cheilly-les-Maranges,20-août-09,146,10,54,2,81,13,85
9a4b69c5-5950-469d-a20e-62416d0d83b4,Maconnais,BRE,Chardonnay,Fuissé,24-août-09,177,7,12,3,14,24,85
52e16f43-5271-4dc1-a515-5e3571f64c70,Maconnais,BUR,Chardonnay,Fuissé,24-août-09,165,7,4,3,24,23,43
ddabf5b9-ba66-48d5-8574-5f67461c6c77,Maconnais,FER,Chardonnay,Fuissé,24-août-09,178,7,8,3,15,25,14
b53df7c9-696e-42a7-b081-98b5e2134fcc,Maconnais,VIN,Chardonnay,Fuissé,24-août-09,178,6,17,3,2,28,84
171b7cf2-8a21-424f-b6d8-938f7ae23396,Maconnais,ADO,Gamay,St.Amour,24-août-09,205,7,27,3,9,28,19
3f7ddad8-d00f-444d-a9cf-67e4370e8dd6,Maconnais,AUF,Gamay,St.Amour,24-août-09,219,6,9,3,25,35,96
69a41281-1cd1-4457-9dcb-070fe025aea9,Maconnais,DUF,Gamay,St.Amour,24-août-09,214,7,21,3,11,29,68
adc12d09-96fe-414d-a079-fd7ec09e2a93,Maconnais,LEB,Gamay,St.Amour,24-août-09,211,6,85,3,13,30,8
2442c5a5-0a3d-43f4-9361-caf0582812f3,Couchois,ES1,Pinot,St.Maurice-les-Couches,24-août-09,169,7,99,2,9,21,15
508f207a-2854-45c9-ae7d-821ee4898108,Couchois,ES2,Pinot,St.Sernin-du-Plain,24-août-09,165,9,5,2,95,18,23
d12d3982-784c-44f9-a81b-7c6f18982069,Maranges,ES3,Pinot,Cheilly-les-Maranges,24-août-09,169,8,74,2,93,19,33
90e6838a-c2b3-492b-a433-f4c6a196cfc3,Maranges,ES4,Pinot,Cheilly-les-Maranges,24-août-09,161,8,39,2,91,19,18
2d3a9755-d6ce-4ee3-8385-8d585b9de0d9,Maconnais,BRE,Chardonnay,Fuissé,27-août-09,172,6,87,3,25,25,3
8948f142-c9df-47c5-90df-415d8b2bbc5f,Maconnais,BUR,Chardonnay,Fuissé,27-août-09,165,6,79,3,29,24,3
cce0099b-2149-4312-99b1-a252dcdb2a1d,Maconnais,FER,Chardonnay,Fuissé,27-août-09,173,6,93,3,21,24,96
e25381ec-bc4f-4531-b2bb-621c830db3a3,Maconnais,VIN,Chardonnay,Fuissé,27-août-09,189,5,56,3,22,33,99
77c8ffe3-7b45-47f7-afa8-426eeb9a3575,Maconnais,ADO,Gamay,St.Amour,27-août-09,220,6,2,3,17,35,48
409abcef-dcd7-40bb-9ac1-4f0c521ecfdd,Maconnais,AUF,Gamay,St.Amour,27-août-09,224,5,56,3,32,40,28
